,company_name,paper_url,authors,title,description,excluded_tags,author_name,exclusion_reason
529,JPMorganChase,/citations?view_op=view_citation&hl=en&user=Teb9yeUAAAAJ&sortby=pubdate&citation_for_view=Teb9yeUAAAAJ:0EnyYjriUFMC,"Brian Brubach, Deeparnab Chakrabarty, John P Dickerson, Seyed Esmaeili, Matthäus Kleindessner, Marina Knittel, Jamie Morgenstern, Samira Samadi, Aravind Srinivasan, Leonidas Tsepenekas",fairness in clustering,"Clustering problems are fundamental in areas ranging from Unsupervised Learning and Operations Research, to Data Mining and Optimization. Even more importantly, due to the numerous practical applications of this family of problems, algorithms developed for them are employed on a daily basis in settings affecting the lives of millions of individuals. Because of this, a flurry of research has emerged on guaranteeing that the aforementioned clustering problems will explicitly take into account the issue of fairness, thus providing socially just solutions. This research endeavour has led to a vast collection of results, where multiple and often unrelated or conflicting definitions of fairness are considered. The goal of this tutorial is to introduce a wide audience interested in algorithmic fairness to the nascent research area of fair clustering. Specifically, we wish to present a variety of fairness notions used in the context of clustering, argue about the necessity of each of those through corresponding applications, discuss the relationships between different notions, sketch the algorithmic ideas that were developed in order to address the corresponding computational problems, and finally share our thoughts about the future of research in algorithmic fairness. By the end of the tutorial, the audience will have achieved a significant level of familiarity with multiple definitions of fairness in the unsupervised learning context, and we hope that researchers will use these ideas in contexts both within and adjacent to the clustering context, in both industrial and academic applications.",,Leonidas Tsepenekas,['no_publication_date']
532,JPMorganChase,/citations?view_op=view_citation&hl=en&user=Tqf8n_gAAAAJ&sortby=pubdate&citation_for_view=Tqf8n_gAAAAJ:ULOm3_A8WrAC,"Sumanth Tatineni, Anirudh Mustyala",leveraging ai for predictive upkeep: optimizing operational efficiency,,,Anirudh Mustyala,['no_tags']
533,JPMorganChase,/citations?view_op=view_citation&hl=en&user=Tqf8n_gAAAAJ&sortby=pubdate&citation_for_view=Tqf8n_gAAAAJ:Zph67rFs4hoC,"Anirudh Mustyala, Karthik Allam",automated scaling and load balancing in kubernetes for high-volume data processing,,,Anirudh Mustyala,['no_tags']
534,JPMorganChase,/citations?view_op=view_citation&hl=en&user=TvwPcPIAAAAJ&sortby=pubdate&citation_for_view=TvwPcPIAAAAJ:UebtZRa9Y70C,,training ai models on sensitive data-the federated learning approach,,,Vineela Komandla,"['no_tags', 'no_authors', 'no_publication_date']"
535,JPMorganChase,/citations?view_op=view_citation&hl=en&user=TvwPcPIAAAAJ&sortby=pubdate&citation_for_view=TvwPcPIAAAAJ:hqOjcs7Dif8C,,building more efficient ai models through unsupervised representation learning,,,Vineela Komandla,"['no_tags', 'no_authors', 'no_publication_date']"
536,JPMorganChase,/citations?view_op=view_citation&hl=en&user=VD46mkEAAAAJ&sortby=pubdate&citation_for_view=VD46mkEAAAAJ:UeHWp8X0CEIC,"Ziyan Zhang, Aria Mansouri Tehrani, Anton O Oliynyk, Blake Day, Jakoah Brgoch",machine learning: finding the next superhard material through ensemble learning (adv. mater. 5/2021),"In article number 2005112, Jakoah Brgoch and co-workers establish an ensemble machine-learning method to find new superhard materials. The model is trained on the sparse experimental data available in the literature to predict load-dependent Vickers hardness based only on chemical composition. Crystal-structure databases and unknown phase diagrams are then screened in search of novel materials with an outstanding mechanical response.",['excluded_keywords'],Ziyan Zhang,['excluded_tags']
537,JPMorganChase,/citations?view_op=view_citation&hl=en&user=VD46mkEAAAAJ&sortby=pubdate&citation_for_view=VD46mkEAAAAJ:qjMakFHDy7sC,"Ziyan Zhang, Jakoah Brgoch",determining temperature-dependent vickers hardness with machine learning,"Assessing the hardness of structural materials at elevated temperatures is experimentally and computationally challenging, yet crucial for their success. In this work, a machine-learning method was developed to determine a material’s temperature-dependent hardness based on its chemical composition and crystal structure. A total of 593 Vickers hardness data collected at various temperatures were extracted from the literature and used to train an extreme gradient boosting (XGBoost) machine-learning model. Applying a combination of composition descriptors and smooth overlap of atomic positions (SOAP) structural descriptors to represent these materials resulted in outstanding accuracy (R2 = 0.91; MAE = 2.52 GPa). The model’s intrinsic variance was also measured by using a bootstrap aggregating (bagging) method, and the subsequent predictions showed strong agreement with the experimental data. The …",['excluded_keywords'],Ziyan Zhang,['excluded_tags']
538,JPMorganChase,/citations?view_op=view_citation&hl=en&user=VI8ohFsAAAAJ&sortby=pubdate&citation_for_view=VI8ohFsAAAAJ:5nxA0vEk-isC,"Mohammadamin Edrisi, Huw A Ogilvie, Meng Li, Luay Nakhleh",moternn: classifying the mode of cancer evolution using recursive neural networks,"With the advent of single-cell DNA sequencing, it is now possible to infer the evolutionary history of thousands of tumor cells obtained from a single patient. This evolutionary history, which takes the shape of a tree, reveals the mode of evolution of the specific cancer under study and, in turn, helps with clinical diagnosis, prognosis, and therapeutic treatment. In this study we focus on the question of determining the mode of evolution of tumor cells from their inferred evolutionary history. In particular, we employ recursive neural networks that capture tree structures to classify the evolutionary history of tumor cells into one of four modes—linear, branching, neutral, and punctuated. We trained our model, MoTERNN, using simulated data in a supervised fashion and applied it to a real phylogenetic tree obtained from single-cell DNA sequencing data. MoTERNN is implemented in Python and is publicly available at https …",['excluded_keywords'],Mohammadamin Edrisi,['excluded_tags']
539,JPMorganChase,/citations?view_op=view_citation&hl=en&user=VMTRIgoAAAAJ&sortby=pubdate&citation_for_view=VMTRIgoAAAAJ:YOwf2qJgpHMC,"Mark Roberts, Tiago Vaquero, Tim Niemueller, Simone Fratini",intex 2019,"Automated planners are increasingly being integrated into online execution systems. The integration may, for example, embed a domain-independent temporal planner in a manufacturing system (eg, the Xerox printer application) or autonomous vehicles. The integration may resemble something more like a” planning stack” where an automated planner produces an activity or task plan that is further refined before being executed by a reactive controller (eg, robotics). Or, the integration may be a domain-specific policy that maps states to actions (eg, reinforcement learning). Online learning may or may not be involved, and may include adjusting or augmenting the model, determining when to repair versus replan, learning to switch policies, etc. A specific focus of these integrations involves online deliberation, bringing to the foreground concerns over how much computational effort planning should invest over time. But reality rarely proceeds according to the plan or the model. Planning, plan execution, diagnosis, and causal explanation have each been examined by various research efforts, but discussion of the linkages between them in the literature is still somewhat sparse. When considering how to integrate these functions, at least three questions must be considered:(1) System integration: how to integrate planning, plan execution, diagnosis, and causal explanation in a single system?(2) Model/Belief updates: when the unexpected happens, how does the system change its internal representation so future plans are effective?(3) Replanning: what to do now that the unexpected has happened?Performing diagnosis while executing a plan gives a …",,Sunandita Patra,['no_publication_date']
540,JPMorganChase,/citations?view_op=view_citation&hl=en&user=VMTRIgoAAAAJ&sortby=pubdate&citation_for_view=VMTRIgoAAAAJ:maZDTaKrznsC,"Mark Roberts, Laura M Hiatt, Dana Nau, Sunandita Patra, Ruoxi Li, Paul Zaidins, Morgan Fine-Morris, David Porfirio",hierarchical goal networks for adaptive ai systems,"Using goals is a hallmark of intelligent behavior (Simon and Newell 1971; Ram and Leake 1995; Cox and Zhang 2007; Hawes 2011; Shivashankar 2015; Aha 2018). In automated planning (eg,(Ghallab, Nau, and Traverso 2016)), a goal is a partial world state an actor needs to achieve. An automated planner synthesizes a plan–a sequence of actions–to achieve the goal.Hierarchical Networks are a type of plan representation that provides knowledge to advise a planner in solving a problem; knowledge is often in the form of decomposition methods. Hierarchical Task Networks (HTNs) are the more common form of this planning. HTN planning decomposes tasks (ie, names) into subtasks (which are also names), which eventually decompose into actions. Because HTNs decompose task names, they are not strictly required to relate to the actual state of the world. For example, a cooking recipe describing how to prepare a dish does not necessarily list the required ingredients (they could be inferred) and may not relate the ingredients within a specific kitchen. In contrast, Hierarchical Goal Networks (HGNs), purposely relate the decomposition methods to the world states–the goals–a system needs to complete (Shivashankar 2015). For example, the methods of an HGN would probably state that, for each ingredient, one must achieve the subgoal (ie, the precondition) have (ingredient) before starting the recipe. HGNs are theoretically equivalent to HTNs (Alford et al. 2016) when one allows including HTN methods that link to world state, as done in some HTN systems. Thus, HGNs seem to offer no advantages. Why bother? We argue that HGNs, and …",,Sunandita Patra,['no_publication_date']
